host,project_name,serial,dataset_name,model_name,freeze_backbone,model_name_teacher,selector,tgda,pretrained,ckpt_path_teacher,square_resize_random_crop,cont_loss,cont_temp,loss_cont_weight,pooling_function,lr,base_lr,opt,weight_decay,seed,epochs,image_size,batch_size,num_images_train,num_images_val,val_acc,val_loss,train_acc,train_loss,time_total,max_memory,flops,no_params,no_params_trainable,throughput
nando-MS-7D88,KD_TGDA,24,aircraft,vitfs_tiny_patch16_gap_reg4_dinov2,,resnet101,cal,True,False,/home/nando/ckpts/serial15_ckpts/aircraft_tv_resnet101_cal_is448.pth,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,800,448,8,6667,3333,88.66,3.801,99.31,3.075,1683.9874,9.9473,7.5074,54.7391,5.6197,
vsplab,KD_TGDA,24,cars,vit_t16,,resnet101,cal,True,False,/Desktop/CodeFolder/results_backbones/serial15_ckpts/cars_tv_resnet101_cal_is448.pth,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,800,448,8,8144,8041,60.42,2.824,99.32,3.618,2131.431,10.6211,7.1135,61.0856,5.6748,
oswin-lab-4070TIs,KD_TGDA,24,cars,vitfs_tiny_patch16_gap_224,,resnet101,cal,True,False,/home/oswin/other_ckpts/cars_tv_resnet101_cal_is448.pth,True,False,0.07,1,gap,0.0005,,adamw,0.05,10,800,448,8,8144,8041,91.22,4.505,99.02,3.177,2025.1723,10.7344,7.4536,61.0437,5.6329,
oswin-lab-4070TIs,KD_TGDA,24,cars,vitfs_tiny_patch16_gap_reg4_dinov2,,resnet101,cal,True,False,/home/oswin/other_ckpts/cars_tv_resnet101_cal_is448.pth,True,False,0.07,1,gap,0.0005,,adamw,0.05,10,800,448,8,8144,8041,92.86,4.5,99.17,3.115,2044.8131,10.9062,7.5074,61.0491,5.6383,
vsplab-DGX-Station-A100,KD_TGDA,24,cub,vit_t16,,resnet101,cal,True,False,/Desktop/CodeFolder/results_backbones/serial15_ckpts/cub_tv_resnet101_cal_is448.pth,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,800,448,8,5994,5794,58.7,2.678,99.38,3.082,1377.7985,9.3145,7.1135,61.3485,5.6755,
pc427-08,KD_TGDA,24,cub,vitfs_tiny_patch16_gap_224,,resnet101,cal,True,False,/Desktop/CodeFolder/results_backbones/serial15_ckpts/cub_tv_resnet101_cal_is448.pth,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,800,448,8,5994,5794,82.72,4.274,99.58,2.797,2712.7756,9.3145,7.4536,61.3066,5.6337,
pc427-08,KD_TGDA,24,cub,vitfs_tiny_patch16_gap_reg4_dinov2,,resnet101,cal,True,False,/Desktop/CodeFolder/results_backbones/serial15_ckpts/cub_tv_resnet101_cal_is448.pth,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,800,448,8,5994,5794,81.74,4.537,99.52,2.829,2762.118,9.5039,7.5075,61.312,5.639,
vsplab,KD_TGDA,25,aircraft,vit_t16,,resnet101,cal,True,False,/Desktop/CodeFolder/results_backbones/serial15_ckpts/aircraft_tv_resnet101_cal_is448.pth,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,800,224,8,6667,3333,55.24,2.537,99.37,4.864,1715.0734,5.123,1.2473,54.6627,5.5433,
buyatti,KD_TGDA,25,aircraft,vitfs_tiny_patch16_gap_reg4_dinov2,,resnet101,cal,True,False,/Desktop/CodeFolder/results_backbones/serial15_ckpts/aircraft_tv_resnet101_cal_is448.pth,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,800,224,8,6667,3333,59.86,3.236,98.95,4.474,1228.1242,5.2012,1.3618,54.7391,5.6197,
camel.ee.nctu.edu.tw,KD_TGDA,25,cars,vit_t16,,resnet101,cal,True,False,/edahome/pcslab/pcs05/edwin/results_backbones/serial15_ckpts/cars_tv_resnet101_cal_is448.pth,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,800,224,8,8144,8041,66.11,2.309,99.07,4.763,2267.4918,6.0918,1.2474,60.9727,5.5619,
