model_name,dataset_name,val_acc,project_name,serial
MixUp*_rn18,cars,91.57,previous,23
CutMix*_rn18,cars,92.65,previous,23
SnapMix*_rn18,cars,93.12,previous,23
CEKD*_rn18,cars,93.87,previous,23
RN18FT_rn18,cub,82.45,previous,23
Mixup_rn18,cub,83.21,previous,23
CutMix_rn18,cub,83.4,previous,23
Cutout_rn18,cub,81.81,previous,23
InPS_rn18,cub,84.55,previous,23
SnapMix_rn18,cub,83.57,previous,23
S3Mix_rn18,cub,85.14,previous,23
S3Mix+_rn18,cub,85.43,previous,23
MixUp*_rn18,cub,83.17,previous,23
CutMix*_rn18,cub,80.16,previous,23
SnapMix*_rn18,cub,84.29,previous,23
CEKD*_rn18,cub,85.22,previous,23
RN34FT_rn34,aircraft,89.53,previous,23
Mixup_rn34,aircraft,89.77,previous,23
CutMix_rn34,aircraft,90.19,previous,23
Cutout_rn34,aircraft,89.35,previous,23
InPS_rn34,aircraft,90.16,previous,23
SnapMix_rn34,aircraft,90.43,previous,23
S3Mix_rn34,aircraft,90.46,previous,23
S3Mix+_rn34,aircraft,90.76,previous,23
MixUp*_rn34,aircraft,91.02,previous,23
CutMix*_rn34,aircraft,91.26,previous,23
SnapMix*_rn34,aircraft,92.36,previous,23
CEKD*_rn34,aircraft,93.65,previous,23
RN34FT_rn34,cars,92.33,previous,23
Mixup_rn34,cars,92.65,previous,23
CutMix_rn34,cars,93.28,previous,23
Cutout_rn34,cars,92.65,previous,23
InPS_rn34,cars,92.08,previous,23
SnapMix_rn34,cars,93.22,previous,23
S3Mix_rn34,cars,93.27,previous,23
S3Mix+_rn34,cars,93.31,previous,23
MixUp*_rn34,cars,93.28,previous,23
CutMix*_rn34,cars,93.61,previous,23
SnapMix*_rn34,cars,93.95,previous,23
CEKD*_rn34,cars,94.61,previous,23
RN34FT_rn34,cub,84.86,previous,23
Mixup_rn34,cub,85.23,previous,23
CutMix_rn34,cub,85.81,previous,23
Cutout_rn34,cub,84.69,previous,23
InPS_rn34,cub,86.07,previous,23
SnapMix_rn34,cub,86.4,previous,23
S3Mix_rn34,cub,86.68,previous,23
S3Mix+_rn34,cub,86.83,previous,23
MixUp*_rn34,cub,85.22,previous,23
CutMix*_rn34,cub,85.69,previous,23
SnapMix*_rn34,cub,87.06,previous,23
CEKD*_rn34,cub,88.32,previous,23
RN50FT_rn50,aircraft,90.31,previous,23
Mixup_rn50,aircraft,90.1,previous,23
CutMix_rn50,aircraft,91.12,previous,23
Cutout_rn50,aircraft,89.62,previous,23
InPS_rn50,aircraft,91.48,previous,23
SnapMix_rn50,aircraft,91.27,previous,23
S3Mix_rn50,aircraft,91.51,previous,23
S3Mix+_rn50,aircraft,91.6,previous,23
MixUp*_rn50,aircraft,92.24,previous,23
CutMix*_rn50,aircraft,92.23,previous,23
SnapMix*_rn50,aircraft,92.8,previous,23
CEKD*_rn50,aircraft,93.48,previous,23
RN50FT_rn50,cars,92.94,previous,23
Mixup_rn50,cars,92.74,previous,23
CutMix_rn50,cars,93.42,previous,23
Cutout_rn50,cars,92.8,previous,23
InPS_rn50,cars,93.26,previous,23
SnapMix_rn50,cars,93.22,previous,23
S3Mix_rn50,cars,93.61,previous,23
S3Mix+_rn50,cars,93.75,previous,23
MixUp*_rn50,cars,93.96,previous,23
CutMix*_rn50,cars,94.18,previous,23
SnapMix*_rn50,cars,94.3,previous,23
CEKD*_rn50,cars,95.65,previous,23
RN50FT_rn50,cub,85.72,previous,23
Mixup_rn50,cub,86.26,previous,23
CutMix_rn50,cub,86.78,previous,23
Cutout_rn50,cub,84.43,previous,23
InPS_rn50,cub,86.83,previous,23
SnapMix_rn50,cub,87.02,previous,23
S3Mix_rn50,cub,87.5,previous,23
S3Mix+_rn50,cub,87.52,previous,23
MixUp*_rn50,cub,86.23,previous,23
CutMix*_rn50,cub,86.15,previous,23
SnapMix*_rn50,cub,87.75,previous,23
CEKD*_rn50,cub,88.41,previous,23
RN101_rn101,aircraft,90.46,previous,23
Mixup_rn101,aircraft,90.31,previous,23
CutMix_rn101,aircraft,91.18,previous,23
Cutout_rn101,aircraft,90.07,previous,23
InPS_rn101,aircraft,90.46,previous,23
SnapMix_rn101,aircraft,91.6,previous,23
S3Mix_rn101,aircraft,91.54,previous,23
S3Mix+_rn101,aircraft,91.81,previous,23
MixUp*_rn101,aircraft,92.89,previous,23
CutMix*_rn101,aircraft,92.29,previous,23
SnapMix*_rn101,aircraft,93.74,previous,23
CEKD*_rn101,aircraft,94.56,previous,23
RN101_rn101,cars,93.06,previous,23
Mixup_rn101,cars,93.05,previous,23
CutMix_rn101,cars,93.25,previous,23
Cutout_rn101,cars,93.02,previous,23
InPS_rn101,cars,92.66,previous,23
SnapMix_rn101,cars,93.51,previous,23
S3Mix_rn101,cars,93.65,previous,23
S3Mix+_rn101,cars,93.92,previous,23
MixUp*_rn101,cars,94.22,previous,23
CutMix*_rn101,cars,94.27,previous,23
SnapMix*_rn101,cars,94.44,previous,23
CEKD*_rn101,cars,95.96,previous,23
RN101_rn101,cub,86.24,previous,23
Mixup_rn101,cub,87.42,previous,23
CutMix_rn101,cub,87.5,previous,23
Cutout_rn101,cub,86.12,previous,23
InPS_rn101,cub,87.57,previous,23
SnapMix_rn101,cub,87.54,previous,23
S3Mix_rn101,cub,87.71,previous,23
S3Mix+_rn101,cub,87.97,previous,23
MixUp*_rn101,cub,87.72,previous,23
CutMix*_rn101,cub,87.92,previous,23
SnapMix*_rn101,cub,88.45,previous,23
CEKD*_rn101,cub,89.59,previous,23
